customer_id,first_name,last_name,email,phone,birth_date,registration_date,country,city,postal_code,address,segment,newsletter_subscribed
CUST_10010,Johnathan,Morrison,brandymartinez@example.com,001-907-354-5055x213,1962-05-14,2024-04-01,United States,Rodriguezburgh,20436,"96222 Harris Parkways Apt. 952, South Emilyton, PA 48894",Premium,True
CUST_10011,Jacques,Perrier,allainchristophe@example.com,0658669708,1953-06-04,2023-07-25,Belgium,Texier,14115,"6, boulevard de Da Silva, 58310 Saint Aimé",Basic,False
CUST_10012,Éléonore,Gomes,agilles@example.net,03 69 27 18 17,1973-03-19,2025-04-12,France,Leduc,88688,"avenue Ruiz, 17609 Saint Alphonse",Premium,False
CUST_10013,Bernard,Dumas,constance53@example.org,04 56 19 99 84,1969-03-28,2024-04-14,France,Saint Benoît,97180,"51, avenue de Besnard, 34299 Collin-sur-Mer",Premium,True
CUST_10014,Étienne,Vaillant,denishebert@example.net,06 99 19 44 25,1975-11-20,2023-12-26,France,Saint Valérieboeuf,40897,"675, rue Normand, 01854 Germain-sur-Marty",Basic,True
CUST_10015,Katelyn,Osborn,mullinskristen@example.net,001-782-882-7488x21923,1965-02-01,2024-09-24,United States,Port Meagan,64954,"38772 Rios Knoll, Tuckermouth, DC 94390",Standard,True
CUST_10016,Marianne,Picard,qpages@example.net,0624876620,1970-03-26,2025-01-08,France,Robin,05119,"33, chemin de Bousquet, 40771 Beckerdan",Premium,False
CUST_10017,Kuno,Bonbach,baehranka@example.com,,1977-10-20,2023-05-10,Germany,Döbeln,28862,"Wiekplatz 8/9, 80348 Göppingen",Basic,False
CUST_10018,David,Marchand,girardvincent@example.org,+33 (0)3 61 88 39 83,1985-06-22,2023-09-01,France,BruneauVille,97368,"4, chemin Honoré Torres, 43570 Sainte Léon",Basic,True
CUST_10019,Théodore,Pruvost,laurentle-roux@example.com,0322475466,1996-11-19,2024-04-24,France,Saint Diane,80912,"22, avenue de Letellier, 78888 Lombard-les-Bains",Premium,True
CUST_10020,Benjamin,Devaux,martinepayet@example.net,+33 4 74 08 48 34,1955-08-08,2025-03-05,France,Boucher,66236,"1, boulevard Martin, 20855 Dias",Standard,False
CUST_10021,Simone,Lamy,langloisolivie@example.com,+33 2 77 05 93 98,1971-12-17,2024-07-06,France,Allard,38492,"88, rue Capucine Vallée, 73466 Leclercdan",Standard,True
CUST_10022,Nathalie,Lelièvre,xavierjacob@example.net,+33 (0)4 98 24 83 19,1972-10-14,2024-02-18,France,Diaz,02577,"rue Danielle Rolland, 18156 BruneauBourg",Basic,True
CUST_10023,Francisco,Plath,mgumprich@example.com,00571909285,1956-01-01,2023-04-29,Switzerland,Wittstock,55161,"Rochus-Zänker-Allee 99-72, 21938 Bad Kreuznach",Basic,True
CUST_10024,Andrée,Mallet,,+33 (0)5 86 44 22 90,1976-11-22,2023-03-18,France,DanielBourg,90172,"6, chemin de Royer, 81641 Toussaint",Basic,False
CUST_10025,Friedhilde,Scholl,,05953261802,1949-10-03,2023-01-24,Germany,Roding,61740,"Milena-Hartung-Gasse 18-87, 49730 Flöha",Basic,True
CUST_10026,Françoise,Gilles,wdurand@example.com,04 69 00 55 81,1966-05-30,2025-07-02,France,Clerc-sur-Mer,76695,"78, boulevard Langlois, 29314 Jacquesnec",Premium,False
CUST_10027,Stephanie,Martin,fisherdonna@example.net,748.825.9429x42444,1958-07-31,2024-04-02,United States,Ryanborough,99717,"3730 Kimberly Key Apt. 341, West Jeanette, AL 97464",Standard,True
CUST_10028,Emmanuel,Pinto,denis38@example.org,04 99 10 50 42,1978-05-03,2024-09-23,France,Diaz,58871,"chemin Gauthier, 97646 Richard",Standard,False
CUST_10029,Oscar,Combs,wileyemily@example.org,+1-286-953-8317x94613,1964-12-23,2024-08-20,United States,Parksstad,79706,"18880 Matthew Groves Apt. 196, East Danielmouth, MH 57801",Basic,True
CUST_10030,Maurice,Morel,mdelorme@example.org,0479551329,2007-03-16,2025-01-31,France,Saint Adélaïde-les-Bains,30314,"73, boulevard de Chrétien, 03104 Millet-sur-Menard",Basic,False
CUST_10031,Corinne,Hamon,,0379711340,1957-04-14,2025-05-01,France,Sainte FrédériqueBourg,39673,"27, rue Maillot, 06891 Lenoir",Basic,True
CUST_10032,Valentine,Fontaine,rlejeune@example.net,+33 (0)5 24 81 65 75,1965-04-07,2023-01-08,France,Barre,97154,"4, rue de Ollivier, 81876 Prévost-sur-Mer",Standard,True
CUST_10033,René,Dijoux,vincent94@example.org,0237643010,1993-11-08,2025-09-24,France,Sainte Bertrand-les-Bains,84690,"95, boulevard Astrid Marty, 62903 Guichardboeuf",Premium,False
CUST_10034,Margot,Pottier,qsalmon@example.net,0296316516,1959-03-29,2024-02-27,France,Sainte Sophie,68571,"592, rue de Jourdan, 50783 Martineau",Standard,False
CUST_10035,Anaïs,Charles,huguesroche@example.net,02 54 54 58 56,1970-10-16,2024-10-30,France,Martin,13886,"94, rue de Charpentier, 70903 Weber-sur-Gillet",Standard,False
CUST_10036,Chantal,Lesage,julielopez@example.org,0248062300,1972-09-17,2023-03-25,France,Blot,37921,"avenue de David, 15221 CarpentierBourg",Premium,True
CUST_10037,Thérèse,Lefebvre,laurence95@example.org,+33 4 88 56 36 37,1997-08-12,2023-02-26,France,Andre,11671,"47, rue de Bouvet, 77576 Bouchetnec",Basic,False
CUST_10038,Timothy,Frederick,michele85@example.net,929-346-1585x6581,1988-07-30,2024-10-05,United States,Millertown,75260,"700 Rebecca Club, Mcculloughmouth, NJ 88311",Basic,False
CUST_10039,Arnaude,Coulon,jeanconstance@example.net,0252179081,1985-06-28,2023-03-14,France,Bazin,88951,"13, boulevard Noël, 33606 Perrier-les-Bains",Basic,True
CUST_10040,Rosaura,Calderon,rafarobles@example.com,+34 944 975 699,1988-05-08,2024-07-05,Spain,Lleida,30007,"Avenida de Vilma Márquez 143 Puerta 7 , Barcelona, 11959",Basic,True
CUST_10041,Michèle,Guérin,elambert@example.org,+33 (0)5 40 86 03 27,1951-05-09,2023-12-09,France,Léger,16290,"58, rue Delattre, 25685 Collin",Standard,True
CUST_10042,Patricio,Simó,primitiva99@example.com,+34 872 13 17 49,1995-08-14,2022-12-15,Spain,Vizcaya,19956,"Ronda Ximena Mena 36 Puerta 0 , Cantabria, 06696",Basic,True
CUST_10043,Adrienne,Boutin,ejoly@example.org,05 57 70 78 60,1988-12-10,2024-10-24,France,CordierVille,18880,"94, rue de Chevalier, 11453 Guyon",Standard,True
CUST_10044,Aurore,Barbe,reymarine@example.com,02 96 51 01 05,2004-05-15,2025-01-15,France,Dumont-sur-Dupuy,26102,"avenue Dos Santos, 68493 Guillou",Standard,False
CUST_10045,Denise,Laporte,barbierthierry@example.com,0376156440,1957-05-21,2023-06-12,France,Fouquet,50987,"53, rue de Bazin, 88589 Cordier-sur-Charles",Standard,False
CUST_10046,Philippe,Martin,cpelletier@example.com,+33 2 14 81 66 47,2000-03-17,2023-08-18,France,Morel-sur-Mer,61794,"8, boulevard Éléonore Didier, 38445 Marchal",Basic,False
CUST_10047,Sylvie,Regnier,ameunier@example.com,+33 (0)2 29 31 12 24,1973-02-20,2025-01-27,France,Saint Thierry,59477,"19, rue Frédéric Navarro, 53883 Fernandes-sur-Cordier",Standard,True
CUST_10048,Victor,Boutin,mariebourgeois@example.net,+33 (0)1 72 47 84 07,2000-08-21,2024-02-03,France,Sainte Claire-sur-Mer,40677,"avenue Amélie Lecoq, 83904 Loiseau",Premium,False
CUST_10049,Aimé,Philippe,le-goffjulien@example.org,0547505429,1966-09-10,2023-05-29,France,Roche,91384,"62, rue Maury, 06273 Saint Alexandrie",Premium,True
CUST_10050,Wendy,Fields,agibson@example.net,+1-354-267-2738x92381,1972-09-07,2024-11-13,United Kingdom,Port Kimberlyton,34518,"64313 Christina Ports, Port April, WI 76372",Standard,True
CUST_10051,Véronique,Robert,anouk79@example.net,0594381106,2000-12-23,2023-12-20,France,Lesage-sur-Meunier,77788,"247, rue Fischer, 40484 Bailly",Basic,True
CUST_10052,Jacob,Cole,alanwelch@example.com,958-530-1365x238,1961-03-09,2023-08-04,United States,West Mark,26533,"5823 Hall Trace, Port Ralphview, IN 20472",Basic,True
CUST_10053,Anto,Gunpf,briemerfranka@example.org,(04307) 405855,1986-04-13,2023-10-04,Germany,Gelnhausen,29548,"Tamara-Wagenknecht-Platz 88-37, 05817 Querfurt",Standard,False
CUST_10054,Victoria,Johnson,ymiller@example.org,+1-945-799-9329x7594,1996-09-26,2022-12-19,United States,New Donnaburgh,34228,"USNV Clark, FPO AP 32426",Standard,True
CUST_10055,Inmaculada,Bernat,mireiapujol@example.org,+34871805923,1983-09-11,2025-01-23,Spain,Ceuta,34892,"Urbanización Simón Ferrando 949, Jaén, 22908",Standard,True
CUST_10056,Adélaïde,Jean,turpinsimone@example.com,0518227807,1983-01-25,2024-04-03,France,Joseph,62395,"7, rue Louise Gérard, 65964 Faivre",Standard,False
CUST_10057,Augustin,Dias,diasluc@example.com,01 82 11 10 08,1948-02-22,2024-09-05,France,Alexandre-les-Bains,28824,"46, rue Jeanne Briand, 46933 MassonBourg",Standard,True
CUST_10058,Tasha,Martinez,thomas52@example.com,001-303-447-6967x9441,1966-04-02,2024-10-23,United States,Lake Raymond,82029,"46339 Harrison Stravenue Suite 568, Jessicamouth, NH 26705",Premium,False
CUST_10059,Jeanne,Boutin,malletadelaide@example.net,+33 (0)3 80 95 32 87,1945-03-07,2024-11-20,France,Piresdan,05804,"42, rue Leleu, 18594 Legrand",Basic,True
CUST_10060,Philippine,Riou,yrichard@example.com,05 65 74 81 07,1998-12-11,2025-07-05,France,Lemoine-sur-Gay,83501,"7, rue de Samson, 10817 Le GoffVille",Premium,False
CUST_10061,Claudia,Celentano,valeria40@example.com,36273214761,1975-08-03,2024-09-27,Italy,Passogatto,23842,"Canale Daria, 83 Piano 9, 84026, Postiglione (SA)",Standard,False
CUST_10062,Ariadna,Moll,eusebia25@example.org,+34 926 853 149,1949-10-27,2025-02-25,Spain,Lleida,11312,"Vial Adelia Iglesias 63 Apt. 95 , Jaén, 34085",Standard,True
CUST_10063,Jeannine,Dos Santos,marechalcaroline@example.net,+33 4 97 88 34 54,1989-09-25,2025-06-14,France,Sainte Michèle,25477,"rue Michel Paris, 21815 Ollivier",Premium,False
CUST_10064,Derek,Collier,hbrandt@example.net,455.528.4826,2004-02-23,2022-11-27,United Kingdom,Mooreborough,70327,"Unit 1117 Box 0684, DPO AE 55799",Standard,True
CUST_10065,Maggie,Munoz,oceanehoarau@example.org,+33 (0)4 58 14 12 63,1974-08-13,2023-06-11,France,Fischer,68911,"5, rue Olivie Renard, 88182 Godard",Basic,False
CUST_10066,Alphons,Onio,goffredocafarchia@example.org,+39 346019313,1955-03-16,2023-08-12,Italy,Francolise,10088,"Vicolo Luigi, 1 Piano 8, 10145, Torino (TO)",Basic,False
CUST_10067,Maryse,Clerc,ecousin@example.net,02 41 17 00 28,1988-11-29,2023-07-22,France,BlinBourg,10456,"45, avenue de Muller, 92384 Mercier",Premium,False
CUST_10068,Holly,Taylor,valdezroberta@example.com,303.626.7722x3068,1992-03-02,2025-08-11,United States,Tiffanyview,34223,"693 Timothy Summit, East Dennisport, OR 61551",Premium,True
CUST_10069,Grace,Davis,cummingsjennifer@example.org,(533)491-2951x583,1963-08-11,2023-11-19,United States,North Nicholas,63185,"51661 Brett Inlet, New Seanside, AZ 38274",Premium,True
CUST_10070,Anouk,Jourdan,schneiderlaure@example.org,0173401764,1975-01-13,2023-11-07,France,Laine,50175,"1, rue Hélène Boulanger, 05291 Traorenec",Standard,False
CUST_10071,Corinne,Antoine,rodrigueznoemi@example.org,04 11 39 21 77,1964-01-02,2024-01-26,France,Schmitt,88422,"25, chemin Mercier, 97134 Rossi",Basic,True
CUST_10072,Joséphine,Descamps,costedominique@example.org,0499506736,1957-07-17,2024-10-27,France,Sainte Mathilde,44734,"85, avenue Antoine Thierry, 13605 Sainte Agnès",Basic,False
CUST_10073,Clotilde,Vicente,pioportillo@example.net,+34941 15 59 40,2000-02-13,2023-05-19,Spain,Toledo,40762,"Camino Nacio Garcia 9 Piso 9 , Baleares, 34971",Standard,True
CUST_10074,Georges,Colin,agathe72@example.org,+33 (0)5 81 23 00 59,1969-06-22,2025-03-07,France,Delorme-la-Forêt,81603,"4, boulevard Samson, 94567 Barre-sur-Mer",Standard,True
CUST_10075,Philippine,Lacroix,remy95@example.com,+33 5 17 43 43 44,1961-11-05,2024-01-15,France,Rémy,72895,"61, avenue Devaux, 78274 Sainte Henrinec",Basic,True
CUST_10076,Vittorio,Proietti,coppolaisabella@example.com,+39 3318798048,1987-07-16,2023-04-11,Italy,Montappone,13040,"Viale Ludovica, 32, 15045, Sale (AL)",Standard,False
CUST_10077,Victoire,Marques,yves85@example.com,0382604296,1949-05-03,2025-06-13,France,Bègue-sur-Mer,88811,"13, chemin Luce Labbé, 56853 Tanguy-les-Bains",Standard,True
CUST_10078,Maryse,Goncalves,tcamus@example.com,05 86 05 09 20,1991-12-09,2023-11-20,France,Couturierdan,68785,"9, rue Faure, 78757 Alves",Basic,True
CUST_10079,Camille,Ramos,lgay@example.net,0188876591,1990-08-29,2022-12-13,France,Le Goff,42653,"495, chemin de Ferrand, 40742 Bazin",Standard,True
CUST_10080,Henriette,Martineau,,+33 (0)2 56 80 10 30,1946-05-21,2024-11-15,Belgium,Lebrun-sur-Mer,97392,"chemin Vidal, 43235 Lebon",Basic,False
CUST_10081,Victor,Loiseau,leon68@example.org,+33 2 22 40 80 97,1997-10-25,2024-08-15,France,Saint Richard,61191,"64, boulevard de Boyer, 35190 Techer",Premium,False
CUST_10082,Agnès,Menard,lucaspinto@example.org,+33 1 88 02 74 30,1962-02-20,2023-09-19,France,Lacombe-sur-Michaud,16320,"18, avenue de Rolland, 61192 Sainte Vincent",Basic,False
CUST_10083,Luciano,Cilea,giulianobassi@example.com,012303118,2003-07-01,2024-12-26,Italy,Moschella,26839,"Vicolo Castellitto, 298, 39044, Egna (BZ)",Standard,True
CUST_10084,Marco,Magnani,abatemichelotto@example.com,+39 055194669,2004-09-02,2024-01-06,Italy,San Donato Di Ninea,90017,"Stretto Luciano, 41, 24059, Urgnano (BG)",Standard,True
CUST_10085,Manon,Morel,lamyzacharie@example.com,01 82 03 90 67,1976-02-17,2023-01-26,France,Petitjean,57289,"82, boulevard de Da Silva, 52543 Costa",Basic,False
CUST_10086,Noémi,Lacroix,benjaminguyon@example.org,02 85 05 09 07,1992-10-23,2023-09-03,France,Lopezboeuf,57940,"397, chemin Blanchard, 43463 Prévost",Premium,False
CUST_10087,Ashley,Jackson,christopherjacobson@example.com,397-887-4781x2433,1990-10-20,2025-10-13,Canada,New Kevin,64807,"2795 Jones Plains, Port Shane, MP 87493",Premium,True
CUST_10088,Pierina,Pisano,ubaldocostalonga@example.com,,1986-01-06,2024-06-03,Italy,Salasco,66023,"Borgo Dulbecco, 87, 16033, Cavi (GE)",Basic,False
CUST_10089,Aynur,Killer,mosemannlaila@example.net,02279 577065,1960-08-17,2024-12-07,Germany,Celle,11082,"Leo-Beckmann-Ring 83/36, 29992 Dachau",Standard,True
CUST_10090,Azahara,Vazquez,belmontecalista@example.com,+34 858248370,1976-04-09,2024-06-22,Spain,Castellón,13990,"Via de Eladio Palomar 5, Cádiz, 47394",Basic,False
CUST_10091,Teresa,Santiago,,610-404-0649x107,1973-08-14,2024-12-06,United Kingdom,Port Aaronborough,55510,"78274 Whitney Passage, Robertsbury, MP 41986",Standard,True
CUST_10092,Hipólito,Amador,lolapascual@example.org,+34949 053 462,2006-02-12,2023-06-21,Spain,Lugo,30009,"Callejón de Joaquina Gutierrez 78 Puerta 2 , Guipúzcoa, 16520",Standard,False
CUST_10093,Emiliana,Tejedor,gema60@example.org,+34942 14 18 55,1967-04-08,2023-02-13,Spain,Teruel,29743,"Calle Gloria Soria 64 Piso 4 , Murcia, 26480",Basic,True
CUST_10094,Michèle,Pires,gabrielle94@example.org,+33 (0)4 22 20 32 71,2006-05-05,2024-09-17,France,Sainte Aurore,27300,"boulevard Guérin, 60601 Saint Susanne-les-Bains",Premium,True
CUST_10095,Lucy,Dos Santos,tristanlebon@example.com,0375696691,1987-11-26,2023-03-30,France,Saint Laurence,88270,"22, rue de Pascal, 28604 Camus-les-Bains",Standard,True
CUST_10096,Brigitte,Nicolas,adrienne93@example.com,0489143400,1981-07-13,2023-09-06,France,Sainte Odette,86417,"1, boulevard de Dupuy, 70558 Saint Théodoredan",Standard,True
CUST_10097,Susanne,Vallée,emmanuel64@example.org,0382143563,1959-06-10,2023-02-08,France,Prévostdan,59711,"60, boulevard de Hervé, 18906 Huetdan",Basic,True
CUST_10098,Arnaude,Garnier,loiseauroland@example.com,01 46 81 04 14,2007-06-14,2025-01-24,France,Sainte Guy,66828,"70, chemin Paul Leduc, 33944 Leclercqnec",Standard,False
CUST_10099,Frédérique,Gosselin,thomasclemence@example.org,0497734227,1975-09-22,2025-10-18,France,Leroux-sur-Colas,97679,"90, chemin Jacquet, 65190 Gimenez",Standard,True
CUST_10100,Marc,Adam,nathbernier@example.org,04 70 41 87 90,2001-06-27,2025-01-08,France,Fischer-sur-Mathieu,11759,"2, chemin Potier, 12611 Gonzalez-sur-Coste",Standard,True
CUST_10101,Robert,Garcia,gsanchez@example.org,+1-588-388-4773,1952-07-23,2024-06-28,United States,South Brooke,49737,"2426 Lisa Island, Kristinland, GA 24731",Basic,False
CUST_10102,Juliette,Faure,godardwilliam@example.com,0554543574,1950-01-27,2023-12-31,France,Costa,20675,"592, avenue Hugues Meunier, 33733 Ollivier",Standard,False
CUST_10103,Éléonore,Lucas,huguesbarthelemy@example.com,+33 4 98 33 70 66,1959-08-24,2023-07-16,France,Pereira-la-Forêt,44303,"4, chemin Pichon, 52354 Vincent",Standard,True
CUST_10104,Paulette,Robin,denis64@example.com,0147360275,1968-08-11,2023-09-11,France,MaryBourg,77886,"92, avenue Christiane Marchal, 90579 Fleuryboeuf",Basic,False
CUST_10105,Joshua,Diaz,stephanie65@example.org,(350)298-2297,1993-01-10,2025-04-20,United States,Michaelfurt,25527,"41615 Frey Centers Apt. 466, New Madison, NY 47529",Standard,True
CUST_10106,Zacharie,Gros,adelenicolas@example.com,,1995-11-20,2023-05-11,France,Carre-sur-Mer,20530,"90, rue de Raymond, 11107 Laine",Standard,True
CUST_10107,Sabri,Beer,tkade@example.org,01748057665,1964-09-02,2024-06-16,Germany,Kronach,37144,"Eberhard-Spieß-Ring 82-39, 69980 Anklam",Standard,True
CUST_10108,Alain,Millet,xduval@example.com,04 38 49 12 02,1988-09-04,2023-06-07,Belgium,Sainte Yves,95936,"2, rue Nicolas, 09126 Gros-sur-Turpin",Basic,True
CUST_10109,Ronald,Willis,ryan18@example.com,3626323261,2000-05-15,2023-08-14,United States,Whitetown,90653,"7954 Steven Villages Apt. 690, North Amandabury, ID 40102",Standard,True
CUST_10110,Marguerite,Reynaud,qboulanger@example.org,+33 (0)2 41 02 14 49,1953-03-21,2024-11-06,France,Saint Zachariedan,43814,"58, rue Chauveau, 30145 Raynaud-sur-Mer",Basic,True
CUST_10111,Hortense,Vidal,mahececile@example.net,+33 2 55 37 70 68,1986-07-11,2025-07-05,France,Thierry-les-Bains,32914,"45, chemin de Faivre, 20502 De Sousa-sur-Hamon",Premium,True
CUST_10112,Augusto,Tebaldi,marianaroccabonella@example.org,05218209134,1979-08-03,2023-08-06,Italy,Predappio,09031,"Viale Nonis, 85 Piano 9, 15041, Franchini (AL)",Basic,True
CUST_10113,Inès,Allain,rogermartin@example.org,+33 (0)2 56 23 65 89,1946-03-21,2023-03-12,France,Pons-sur-Ramos,20792,"44, avenue de Courtois, 18488 Gillet",Standard,True
CUST_10114,Charlotte,Raymond,dmorin@example.net,+33 3 29 86 14 30,1959-06-14,2025-02-24,France,Saint Inès,09913,"42, avenue de Dumont, 07896 PascalBourg",Standard,True
CUST_10115,April,Davis,rhonda15@example.com,877-764-4003x46499,1981-02-14,2023-04-30,United States,Dillonberg,64310,"27065 Jim Keys Suite 165, Port Michele, NY 84196",Standard,True
CUST_10116,Dorothée,Teixeira,mauricemace@example.org,+33 1 42 11 61 92,1992-02-27,2023-05-12,France,Arnaud,28661,"11, rue de Daniel, 18727 BarthelemyVille",Standard,True
CUST_10117,Lucrezia,Ferrara,fedele80@example.com,,1947-02-23,2023-06-07,Italy,Albino,89100,"Rotonda Pompeo, 441, 94017, Regalbuto (EN)",Standard,True
CUST_10118,Augustin,Simon,chauveauadrien@example.org,+33 2 50 00 90 74,1987-03-09,2024-07-16,France,Jourdan,27207,"2, chemin Thierry Carlier, 94923 Saint Antoinettedan",Standard,True
CUST_10119,Augustin,Baron,xroussel@example.org,0223761321,1969-04-28,2025-08-01,France,Martin,27341,"183, rue Charlotte Dupuis, 46932 CourtoisVille",Basic,True
CUST_10120,Richard,Deschamps,margaux10@example.org,+33 (0)2 43 79 31 07,1947-11-19,2023-08-19,France,Bodindan,47844,"39, chemin Manon Rossi, 19431 Raymond",Standard,True
CUST_10121,Joséphine,Caron,rmarques@example.com,+33 4 75 67 70 87,1954-05-13,2024-05-25,France,Saint Manondan,06912,"7, chemin Suzanne Mace, 49211 Blondel",Basic,True
CUST_10122,Madeleine,Clément,claude73@example.org,+33 (0)3 75 80 93 09,1952-07-09,2024-06-23,Belgium,Rolland,50602,"6, boulevard Céline Aubert, 69962 Saint AliceVille",Basic,True
CUST_10123,Benoît,Ollivier,juliettedelannoy@example.org,02 40 21 12 17,1985-01-30,2025-10-07,France,Sainte Jérôme-la-Forêt,81932,"7, rue Chauvet, 16725 Gilles-sur-Mer",Premium,True
CUST_10124,William,Menard,paulinefaure@example.org,+33 4 84 50 72 98,1948-04-26,2023-12-03,France,Sainte Jérôme,12377,"618, boulevard Daniel Boucher, 56839 Hervéboeuf",Standard,True
CUST_10125,Émilie,Faivre,corinnepoirier@example.org,+33 2 31 91 49 24,1967-10-19,2024-06-09,France,Masson,25247,"9, chemin Chantal Gautier, 34849 Valentin-sur-Besnard",Basic,True
CUST_10126,Angelita,Soto,dafneferrando@example.org,+34 824673761,1962-02-20,2025-02-02,Spain,Lleida,44968,"Callejón Telmo Terrón 63, Ceuta, 24450",Standard,True
CUST_10127,Daniel,Hubbard,johngarcia@example.org,+1-671-858-6737x297,1996-09-29,2024-08-14,United States,Fraziertown,24183,"USS Hunt, FPO AA 94774",Standard,False
CUST_10128,Luzia,Carsten,ewahande@example.net,(02163) 55249,1961-07-17,2024-12-08,Germany,Waldmünchen,83795,"Winklerstraße 3/6, 10317 Schwerin",Basic,True
CUST_10129,Jeanne,Pichon,richardmaggie@example.com,0382112480,1976-02-21,2024-09-07,France,Lambert,56148,"79, rue de Adam, 63353 RollandBourg",Basic,False
CUST_10130,Michelle,Melton,andrew50@example.net,2146150868,2005-10-07,2024-04-21,Canada,Normanfurt,70410,"7111 Cruz Stravenue, South Brooke, HI 12500",Standard,True
CUST_10131,Meral,Winkler,joannaliebelt@example.net,+49(0)5639 417687,1967-11-24,2023-01-12,Germany,Lippstadt,39298,"Rennergasse 3547, 80424 Wolfenbüttel",Standard,False
CUST_10132,Michelotto,Tommaseo,costantinovespa@example.org,+39 33901186106,1975-09-12,2024-08-11,Italy,Gagliano Castelferrato,87047,"Borgo Osvaldo, 77, 23032, Bormio (SO)",Standard,False
CUST_10133,Stefania,Schuchhardt,dominicfreudenberger@example.net,+49(0) 986256445,1953-10-26,2023-09-08,Germany,Goslar,98264,"Dorina-Scholtz-Ring 7/4, 74177 Luckau",Premium,False
CUST_10134,Eugène,Étienne,bertrandmoreno@example.net,0249146685,1983-01-24,2023-08-09,France,MoreauBourg,32383,"1, rue Guillaume Vincent, 74934 Gautier-les-Bains",Basic,True
CUST_10135,Lorenzo,Lettiere,marinougo@example.com,0858945016,1989-06-08,2023-08-07,Italy,Costalpino,02024,"Via Lilla, 626 Appartamento 8, 84091, Belvedere Di Battipaglia (SA)",Standard,True
CUST_10136,Tabitha,Nelson,kaylabrown@example.com,(943)589-9261x0355,2006-07-01,2024-11-21,United Kingdom,Ochoatown,48621,"942 Miller Streets Apt. 722, Lake Charles, MP 31151",Premium,True
CUST_10137,Inès,Guilbert,eleonore28@example.org,+33 3 79 44 40 51,2002-10-29,2024-08-29,Belgium,Rousset-la-Forêt,05226,"423, rue Morin, 22194 Sainte Alix",Basic,True
CUST_10138,David,Gibson,holly03@example.net,(250)230-0968x3269,1979-03-21,2024-10-26,United States,Johnsonfort,41318,"6063 Patricia Park Apt. 766, Lake Richardmouth, MS 90130",Standard,True
CUST_10139,Célina,Cohen,grosaimee@example.net,03 69 43 09 13,1954-01-02,2024-03-06,France,Mendèsboeuf,37500,"avenue Pires, 07176 Collet-la-Forêt",Standard,False
CUST_10140,María Luisa,Mármol,eligiosevilla@example.org,+34 878 89 59 04,1979-10-12,2025-06-24,Spain,Zamora,39070,"Urbanización Máxima Rodrigo 30 Puerta 8 , Almería, 49817",Basic,True
CUST_10141,Véronique,Barthelemy,wdurand@example.org,03 85 89 08 15,1981-06-05,2023-08-24,France,Gomes,80984,"23, rue Daniel Sanchez, 78761 Jacquot-sur-Lefèvre",Premium,True
CUST_10142,Élise,Gaudin,susanne34@example.com,+33 (0)5 63 28 31 34,1997-11-23,2024-07-14,France,Leduc,33431,"77, boulevard de Rousseau, 16197 Da Costaboeuf",Basic,True
CUST_10143,Philippine,Petit,pierreedith@example.com,,2005-05-25,2025-10-01,France,Sainte Matthieu,59376,"31, boulevard Alphonse Clément, 87856 Weiss",Premium,False
CUST_10144,Natasha,Rodriguez,cmyers@example.org,603.660.7323x427,1962-01-15,2023-06-30,United States,Michaelchester,77084,"USNV Green, FPO AA 89529",Premium,True
